type,two_factor_authentication,multi_factor_authentication,security_monitoring,data_privacy_policy,secure_file_uploads,secure_file_uploads_policies__properties__secure_file_name,secure_file_uploads_policies__properties__malware_scan,secure_file_uploads_policies__properties__audit_logging,secure_file_uploads_policies__properties__sandboxing,secure_file_uploads_policies__properties__encryption__in_transit,secure_file_uploads_policies__properties__encryption__at_rest,ssl_encryption_required,permissions,explicite_allowed_resources,other_resources
customer,TRUE,TRUE,TRUE,TRUE,TRUE,creative_bird.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,create,NULL,TRUE
anonymous,TRUE,TRUE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
customer,TRUE,TRUE,TRUE,TRUE,TRUE,brave_day.png,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,read,userId_info.txt,TRUE
employee,TRUE,TRUE,TRUE,FALSE,TRUE,brave_day.msi,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,none,reports.txt,TRUE
customer,TRUE,TRUE,FALSE,TRUE,TRUE,beautiful_sun.vbs,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,write,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,FALSE,TRUE,clever_day.txt,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,write,product_info.txt,TRUE
employee,TRUE,TRUE,TRUE,TRUE,TRUE,brave_bird.png,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,read,product_info.txt,FALSE
anonymous,TRUE,FALSE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
employee,TRUE,TRUE,TRUE,TRUE,unknown,beautiful_day.exe,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,read,reports.txt,TRUE
employee,TRUE,TRUE,TRUE,TRUE,TRUE,brave_flower.xlsx,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,create,sales.txt,TRUE
