,client,userid,datetime,method,request,status,size,referer,user_agent
0,188.166.91.180,-,26/Jan/2019:20:29:08 +0330,GET,/favicon.ico,200,0,https://www.zanbil.ir/m,"Mozilla/5.0 (Linux; Android 8.0.0; SM-A320F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.109 Mobile Safari/537.36"" "
1,151.239.2.90,-,26/Jan/2019:20:29:09 +0330,GET,/search/%D8%B3%D8%B1%D8%B1%D8%B3%DB%8C%D8%AF/p0,404,32423,https://www.zanbil.ir/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0"" "
2,5.114.175.169,-,26/Jan/2019:20:29:09 +0330,GET,/image/58459/productModel/200x200,200,6034,https://www.zanbil.ir/m/filter/b2%2Cp65%2Ct31,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"" "
3,66.249.66.91,-,26/Jan/2019:20:29:09 +0330,GET,/filter/b481%2Cb656%2Cb43%2Cb36%2Cb226%2Cb41%2Cb136%2Cb180%2Cb615%2Cb648%2Cb148%2Cb80%2Cb213%2Cb597%2Cb724%2Cb35%2Cb645%2Cb861%2Cb5%2Cb231%2Cb219%2Cb88%2Cb42%2Cb400%2Cb879%2Cb574%2Cb185%2Cb126%2Cb523%2Cb82%2Cb103%2Cb1%2Cb168%2Cb105%2Cb874%2Cb212%2Cb603%2Cb183%2Cb546%2Cb854%2Cb20%2Cb584%2Cb261%2Cb198%2Cb543%2Cb778?page=150,200,39963,-,"Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" "
4,66.249.66.92,-,26/Jan/2019:20:29:09 +0330,GET,/static/css/font/wyekan/font.woff,304,0,-,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" "
5,151.239.2.90,-,26/Jan/2019:20:29:09 +0330,GET,/static/bundle-bundle_site_head.css,499,0,https://www.zanbil.ir/search/%D8%B3%D8%B1%D8%B1%D8%B3%DB%8C%D8%AF/p0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0"" "
6,151.239.2.90,-,26/Jan/2019:20:29:09 +0330,GET,/image/%7B%7BbasketItem.id%7D%7D?type=productModel&wh=50x50,200,5,https://www.zanbil.ir/search/%D8%B3%D8%B1%D8%B1%D8%B3%DB%8C%D8%AF/p0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0"" "
7,5.114.175.169,-,26/Jan/2019:20:29:09 +0330,GET,/image/56602/productModel/200x200,200,6188,https://www.zanbil.ir/m/filter/b2%2Cp65%2Ct31,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"" "
8,5.114.175.169,-,26/Jan/2019:20:29:09 +0330,GET,/image/62175/productModel/200x200,200,8140,https://www.zanbil.ir/m/filter/b2%2Cp65%2Ct31,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"" "
9,5.114.175.169,-,26/Jan/2019:20:29:09 +0330,GET,/image/62064/productModel/200x200,200,6840,https://www.zanbil.ir/m/filter/b2%2Cp65%2Ct31,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"" "
10,151.239.2.90,-,26/Jan/2019:20:29:09 +0330,GET,/static/images/search-category-arrow.png,200,217,https://znbl.ir/static/bundle-bundle_site_head.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0"" "
11,151.239.2.90,-,26/Jan/2019:20:29:08 +0330,GET,/site/prepareSearch?f=p0&phrase=%D8%B3%D8%B1%D8%B1%D8%B3%DB%8C%D8%AF,302,0,https://www.zanbil.ir/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0"" "
12,192.15.51.231,-,26/Jan/2019:20:29:09 +0330,GET,/favicon.ico,200,0,-,"Mozilla/5.0 (Linux; Android 4.4.4; SM-J110H Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.109 Mobile Safari/537.36"" "
13,151.239.2.90,-,26/Jan/2019:20:29:09 +0330,GET,/settings/logo,200,4120,https://www.zanbil.ir/search/%D8%B3%D8%B1%D8%B1%D8%B3%DB%8C%D8%AF/p0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0"" "
14,66.249.66.91,-,26/Jan/2019:20:29:09 +0330,GET,/static/css/font/wyekan/font.woff,304,0,-,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" "
15,31.184.133.100,-,26/Jan/2019:20:29:10 +0330,GET,"/filter/b583,b523",200,36162,http://www.zanbil.ir/,"Mozilla/5.0 (compatible; Parsijoobot; +http://www.parsijoo.ir/bot.html; crawler@parsijoo.ir)"" "
16,188.159.245.53,-,26/Jan/2019:20:29:10 +0330,GET,/image/65162/productModel/200x200,200,4870,https://www.zanbil.ir/m/browse/steam-cleaner/%D8%A8%D8%AE%D8%A7%D8%B1%D8%B4%D9%88%DB%8C,"Mozilla/5.0 (Linux; U; Android 4.1.2; fa-fa; GT-I9070 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"" "
