"type","password_policies__properties__min_length","password_policies__properties__max_length","password_policies__properties__require_uppercase","password_policies__properties__require_lowercase","password_policies__properties__require_digit","password_policies__properties__require_special_char","password_policies__properties__required__001","password_policies__properties__required__002","password_policies__properties__required__003","password_policies__properties__required__004","password_policies__properties__required__005","password_policies__properties__required__006","two_factor_authentication","password_expiration_period","multi_factor_authentication","account_lockout_policy__properties__max_failed_attempts","account_lockout_policy__properties__lockout_duration","account_lockout_policy__properties__notification_emails__email_to_notify","account_lockout_policy__required__001","account_lockout_policy__required__002","security_monitoring","data_privacy_policy","secure_file_uploads","secure_file_uploads_policies__properties__secure_file_name","secure_file_uploads_policies__properties__malware_scan","secure_file_uploads_policies__properties__audit_logging","secure_file_uploads_policies__properties__sandboxing","secure_file_uploads_policies__properties__encryption__in_transit","secure_file_uploads_policies__properties__encryption__at_rest","ssl_encryption_required","permissions__001","permissions__002","permissions__003","permissions__004","explicite_allowed_resources__001","explicite_allowed_resources__002","explicite_allowed_resources__003","other_resources"
"Tier 1","8","30","True","False","True","True","min_length","max_length","require_uppercase","require_digit","require_lowercase","require_special_char","True","30 days","True","3","24 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","max_failed_attempts","lockout_duration","True","True","True","^[A-Za-z0-9._%+-]","True","True","True","True","True","True","read","write","delete","create","sensitive_data.txt","sales.txt","reports.txt","False"
"Tier 1","8","30","True","False","True","True","min_length","max_length","require_uppercase","require_digit","require_lowercase","require_special_char","True","30 days","True","3","24 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","max_failed_attempts","lockout_duration","True","True","True","^[A-Za-z0-9._%+-]","True","True","True","True","True","False","read","write","delete","create","sensitive_data.txt","sales.txt","reports.txt","True"
"Tier 1","8","30","True","False","True","True","min_length","max_length","require_uppercase","require_digit","require_lowercase","require_special_char","True","30 days","True","3","24 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","max_failed_attempts","lockout_duration","True","False","True","^[A-Za-z0-9._%+-]","True","True","True","True","True","True","read","write","delete","create","sensitive_data.txt","sales.txt","reports.txt","True"
"Tier 1","4","10","True","False","False","False","min_length","max_length","","require_digit","require_lowercase","require_special_char","True","80 days","True","3","75 hours","^[A-Za-z0-9._%+-]+.@org.com$","max_failed_attempts","lockout_duration","True","True","True","^[A-Za-z0-9._%+-]","True","False","True","True","True","False","read","write","","create","sensitive_data.txt","sales.txt","","True"
"Tier 1","8","30","True","False","True","True","min_length","","require_uppercase","require_digit","","require_special_char","False","80 days","True","3","24 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","max_failed_attempts","lockout_duration","True","False","True","^[A-Za-z0-9._%+-]","True","True","True","True","False","True","read","","delete","create","","sales.txt","","True"
"Tier 1","8","30","True","False","True","True","min_length","max_length","require_uppercase","","require_lowercase","require_special_char","True","Never","True","3","24 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","max_failed_attempts","lockout_duration","True","True","False","^[A-Za-z0-9._%+-]","True","True","True","True","True","True","read","","delete","create","sensitive_data.txt","sales.txt","reports.txt","False"
"Tier 1","8","10","True","False","True","True","min_length","max_length","require_uppercase","require_digit","require_lowercase","","True","30 days","False","3","","","max_failed_attempts","","False","True","False","^[A-Za-z0-9._%+-]","True","True","True","True","True","True","read","write","delete","create","sensitive_data.txt","sales.txt","reports.txt","True"
"Tier 1","8","15","True","False","True","True","min_length","","require_uppercase","require_digit","require_lowercase","require_special_char","True","30 days","False","10","24 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","max_failed_attempts","lockout_duration","True","True","True","file","True","False","True","True","True","True","read","","delete","create","sensitive_data.txt","sales.txt","reports.txt","False"
"Tier 1","2","5","True","False","True","True","min_length","max_length","require_uppercase","require_digit","require_lowercase","require_special_char","False","30 days","True","18","0 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","","lockout_duration","True","True","True","^[A-Za-z0-9._%+-]","False","True","True","True","False","False","","","","","","","","True"
"Tier 1","8","15","True","False","True","True","min_length","max_length","require_uppercase","require_digit","require_lowercase","","True","30 days","True","50","0 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","max_failed_attempts","lockout_duration","True","False","True","^[A-Za-z0-9._%+-]","True","True","False","True","False","True","read","write","","","sensitive_data.txt","sales.txt","reports.txt","True"
"Tier 1","10","20","True","True","False","True","min_length","max_length","require_uppercase","require_digit","require_lowercase","require_special_char","True","100 days","False","5","1 hour","admin@org.com","","lockout_duration","False","True","True","^[A-Za-z0-9._%+-]","False","True","False","True","True","True","read","","delete","","documents.txt","images.txt","","False"
"Tier 1","12","25","True","True","True","True","min_length","max_length","require_uppercase","require_digit","require_lowercase","require_special_char","False","60 days","True","3","1 day","admin@org.com","max_failed_attempts","lockout_duration","True","False","True","^[A-Za-z0-9._%+-]","True","True","True","True","True","True","read","write","","","documents.txt","images.txt","","True"
"Tier 1","8","16","False","True","True","True","min_length","max_length","require_uppercase","require_digit","require_lowercase","require_special_char","True","180 days","True","10","1 day","admin@org.com","max_failed_attempts","lockout_duration","True","True","False","","","","","","","True","read","","","","documents.txt","images.txt","","True"
"Tier 1","12","25","True","True","True","True","min_length","max_length","require_uppercase","require_digit","require_lowercase","require_special_char","True","90 days","True","5","1 hour","admin@org.com","max_failed_attempts","lockout_duration","True","True","True","^[A-Za-z0-9._%+-]","False","True","True","True","True","True","read","write","delete","","documents.txt","images.txt","","True"
