"type","password_policies__properties__min_length","password_policies__properties__max_length","password_policies__properties__require_uppercase","password_policies__properties__require_lowercase","password_policies__properties__require_digit","password_policies__properties__require_special_char","password_policies__required__001","password_policies__required__002","password_policies__required__003","password_policies__required__004","password_policies__required__005","password_policies__properties__required__001","password_policies__properties__required__002","password_policies__properties__required__003","password_policies__properties__required__004","password_policies__properties__required__005","password_policies__properties__required__006","two_factor_authentication","password_expiration_period","multi_factor_authentication","account_lockout_policy__properties__max_failed_attempts","account_lockout_policy__properties__lockout_duration","account_lockout_policy__properties__notification_emails__email_to_notify__001","account_lockout_policy__properties__notification_emails__email_to_notify__002","account_lockout_policy__required__001","account_lockout_policy__required__002","security_monitoring","data_privacy_policy","secure_file_uploads","secure_file_uploads_policies__properties__secure_file_name","secure_file_uploads_policies__properties__malware_scan","secure_file_uploads_policies__properties__audit_logging","secure_file_uploads_policies__properties__encryption__in_transit","secure_file_uploads_policies__properties__encryption__at_rest","ssl_encryption_required","permissions__001","permissions__002","permissions__003","explicite_allowed_resources__001","explicite_allowed_resources__002","explicite_allowed_resources__003","other_resources"
"Tier 3","8","15","True","True","False","True","","","","","","min_length","max_length","require_uppercase","require_digit","require_lowercase","require_special_char","True","90 days","False","5","48 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","^[A-Za-z0-9._%+-]+.security@org.com$","max_failed_attempts","lockout_duration","True","True","False","^[A-Za-z0-9._%+-]","True","True","True","True","False","read","","","product_info.txt","id_info.txt","","False"
"Tier 3","8","15","True","True","True","True","","","","","","min_length","max_length","require_uppercase","require_digit","require_lowercase","require_special_char","False","90 days","False","5","48 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","^[A-Za-z0-9._%+-]+.security@org.com$","max_failed_attempts","lockout_duration","True","False","False","^[A-Za-z0-9._%+-]","True","True","True","True","True","read","","","product_info.txt","id_info.txt","","False"
"Tier 3","8","15","True","True","True","True","","","","","","min_length","max_length","require_uppercase","require_digit","require_lowercase","require_special_char","True","90 days","False","5","0 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","^[A-Za-z0-9._%+-]+.security@org.com$","max_failed_attempts","lockout_duration","True","True","False","^[A-Za-z0-9._%+-]","True","True","True","True","True","read","","","product_info.txt","id_info.txt","","False"
"Tier 3","5","15","True","True","True","True","min_length","","require_uppercase","require_lowercase","","","","","","","","True","0 days","False","5","0 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","","max_failed_attempts","lockout_duration","True","True","False","^[A-Za-z0-9._%+-]","True","False","True","True","True","read","","","product_info.txt","id_info.txt","","True"
"Tier 3","5","5","False","True","True","True","min_length","max_length","require_uppercase","require_lowercase","require_special_char","","","","","","","False","10 days","False","5","0 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","^[A-Za-z0-9._%+-]+.security@org.com$","max_failed_attempts","","False","True","False","^[A-Za-z0-9._%+-]","True","True","True","True","True","read","","","product_info.txt","id_info.txt","","True"
"Tier 3","5","15","True","False","True","False","min_length","max_length","require_uppercase","require_lowercase","","","","","","","","True","190 days","False","5","0 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","^[A-Za-z0-9._%+-]+.security@org.com$","","lockout_duration","False","True","False","^[A-Za-z0-9._%+-]","True","True","True","True","True","read","write","","product_info.txt","id_info.txt","","False"
"Tier 3","8","15","True","True","True","True","min_length","max_length","require_uppercase","require_lowercase","require_special_char","","","","","","","True","90 days","False","5","48 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","^[A-Za-z0-9._%+-]+.security@org.com$","max_failed_attempts","","False","True","False","^[A-Za-z0-9._%+-]","True","True","True","True","False","read","write","","product_info.txt","id_info.txt","","True"
"Tier 3","5","5","True","False","False","False","min_length","max_length","require_uppercase","require_lowercase","require_special_char","","","","","","","True","90 days","False","5","48 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","^[A-Za-z0-9._%+-]+.security@org.com$","max_failed_attempts","lockout_duration","True","False","False","^[A-Za-z0-9._%+-]","False","False","False","False","True","read","","","product_info.txt","id_info.txt","","True"
"Tier 3","2","2","True","False","True","False","min_length","max_length","require_uppercase","","","","","","","","","True","90 days","False","5","","^[A-Za-z0-9._%+-]+.admin@org.com$","^[A-Za-z0-9._%+-]+.security@org.com$","max_failed_attempts","","True","False","False","^[A-Za-z0-9._%+-]","False","False","False","True","False","read","","","product_info.txt","id_info.txt","","False"
"Tier 3","8","15","False","False","False","True","min_length","","","","","","","","","","","True","90 days","False","5","48 hours","^[A-Za-z0-9._%+-]+.admin@org.com$","","","","True","True","False","^[A-Za-z0-9._%+-]","False","True","True","True","True","read","write","delete","product_info.txt","id_info.txt","","False"
